I1;I2;I3;I4;I5;I6;I7;O1;O2
0.411522633744856;0.36363636363636365;0.15384615384615385;0.5333333333333333;-0.6666666666666667;0.0;0.5726;0.621366380060034;0.5039135879774578
0.411522633744856;0.36363636363636365;0.15384615384615385;0.5333333333333333;-0.6666666666666667;1.0;0.5726;0.6572511607296994;0.5039135879774578
0.411522633744856;0.36363636363636365;0.15384615384615385;0.5333333333333333;0.0;0.0;0.6028;0.7091495371135449;0.5232206219995825
0.411522633744856;0.36363636363636365;0.15384615384615385;0.5333333333333333;0.0;1.0;0.6028;0.745033696211055;0.5232206219995825
0.411522633744856;0.36363636363636365;0.15384615384615385;0.5333333333333333;0.6666666666666667;0.0;0.575;0.7502150774487646;0.4726048841577959
0.411522633744856;0.36363636363636365;0.15384615384615385;0.5333333333333333;0.6666666666666667;1.0;0.575;0.7860992362859849;0.4726048841577959
0.411522633744856;0.36363636363636365;0.15384615384615385;0.13333333333333333;-0.6666666666666667;0.0;0.7222000000000001;0.6534240394561793;0.5576601962012107
0.411522633744856;0.36363636363636365;0.15384615384615385;0.13333333333333333;-0.6666666666666667;1.0;0.7222000000000001;0.6936308867086403;0.5576601962012107
0.411522633744856;0.36363636363636365;0.15384615384615385;0.13333333333333333;0.0;0.0;0.727;0.7392361204062423;0.6672406595700271
0.411522633744856;0.36363636363636365;0.15384615384615385;0.13333333333333333;0.0;1.0;0.727;0.7794429676587031;0.6672406595700271
0.411522633744856;0.36363636363636365;0.15384615384615385;0.13333333333333333;0.6666666666666667;0.0;0.7252;0.7903715596569326;0.56914005426842
0.411522633744856;0.36363636363636365;0.15384615384615385;0.13333333333333333;0.6666666666666667;1.0;0.7252;0.8305784071696833;0.56914005426842
0.411522633744856;0.36363636363636365;0.15384615384615385;0.3333333333333333;-0.6666666666666667;0.0;0.6254;0.632520060306613;0.4950427885618868
0.411522633744856;0.36363636363636365;0.15384615384615385;0.3333333333333333;-0.6666666666666667;1.0;0.6254;0.6688543956405327;0.4950427885618868
0.411522633744856;0.36363636363636365;0.15384615384615385;0.3333333333333333;0.0;0.0;0.6126;0.7310216443078189;0.5284387393028596
0.411522633744856;0.36363636363636365;0.15384615384615385;0.3333333333333333;0.0;1.0;0.6126;0.7673566014741837;0.5284387393028596
0.411522633744856;0.36363636363636365;0.15384615384615385;0.3333333333333333;0.6666666666666667;0.0;0.6272;0.7741235489885947;0.5378313504487581
0.411522633744856;0.36363636363636365;0.15384615384615385;0.3333333333333333;0.6666666666666667;1.0;0.6272;0.8104578843225143;0.5378313504487581
0.411522633744856;0.36363636363636365;0.15384615384615385;0.9299999999999999;0.0;0.0;0.738;0.7145802565032277;0.5910561469421833
0.411522633744856;0.36363636363636365;0.15384615384615385;0.9299999999999999;0.0;1.0;0.738;0.74812648282187;0.5910561469421833
0.411522633744856;0.36363636363636365;0.15384615384615385;0.13333333333333333;-0.6666666666666667;0.0;0.35960000000000003;0.44545870258581627;0.2602275099144229
0.411522633744856;0.36363636363636365;0.15384615384615385;0.13333333333333333;-0.6666666666666667;1.0;0.35960000000000003;0.48566554983827714;0.2602275099144229
0.411522633744856;0.36363636363636365;0.15384615384615385;0.13333333333333333;0.0;0.0;0.42060000000000003;0.5209963150207215;0.38285326654143187
0.411522633744856;0.36363636363636365;0.15384615384615385;0.13333333333333333;0.0;1.0;0.42060000000000003;0.5612031625334722;0.38285326654143187
