alpha,Re,Kulfan_1,Kulfan_9,Kulfan_2,Kulfan_10,Kulfan_3,Kulfan_11,Kulfan_4,Kulfan_12,Kulfan_5,Kulfan_13,Kulfan_6,Kulfan_14,Kulfan_7,Kulfan_15,Kulfan_8,Kulfan_16,Kulfan_17,Kulfan_18,Cl,Cd,Cm
2.296024720395084,16376690.61580796,0.14992641901557802,-0.2248214428701279,0.2421142890255866,-0.24667497874408828,0.20711903068982482,-0.1976662496206883,0.18578535747152586,-0.1181094769458477,0.11496298247078986,-0.24753920620667647,0.11495912325379243,-0.23249057068886186,0.09929337794691193,-0.1209032229221251,0.22858818332398964,-0.20106372752799614,0.012444504347434271,0.0029410088107660205,0.22154792835333426,0.00526863725696508,0.008340442777462953
-2.512728058625916,16176784.092320511,0.18617840187891344,-0.09988583768304281,0.2032916124473673,-0.1891609371212323,0.0932935190873284,-0.12252737134648811,0.2451855763459191,-0.20859362539805526,0.2231908225280675,-0.2401070018535189,0.12397425770852419,-0.10895128228571983,0.11909199475313612,-0.10163256389606791,0.11934472157654942,-0.1367040547217251,0.12164025994562447,0.005113505731227247,-0.2664485701333229,0.006240556512489449,0.013541929118224272
-1.2838108172112743,13787777.29278139,0.13867875887352604,-0.12678914822461676,0.17396102906115807,-0.2488595807852959,0.15911120298273854,-0.12938823717443107,0.13659666243168672,-0.17444857809778772,0.18789646315558073,-0.17755352726171877,0.1123190177043267,-0.16358881272473264,0.1367431437656349,-0.20660636540647212,0.14861789492699068,-0.13859383123025568,0.07065805838808023,0.001219330466197166,-0.18642534747516093,0.0049512972488541295,0.013401704656054503
-5.812059202948037,12133142.697301395,0.16297119747472577,-0.20270578047567878,0.2156281538228822,-0.16062293792521917,0.12194780514533757,-0.22809164339015442,0.17227751014617787,-0.14198789838131187,0.1847863310179268,-0.21966195767120555,0.09743206603519965,-0.22273376228030628,0.18720717630423014,-0.24611469402090136,0.11728385978996667,-0.23051427587682966,0.0741661597933824,0.007133354477345397,-0.7914274183022169,0.007257960498899441,0.04308896344664288
-6.106947889671328,2636521.328144633,0.10040825487764474,-0.21278876078737077,0.24182168596053333,-0.21443050228969185,0.24450112529192952,-0.19757257131546682,0.2193435756986338,-0.24129337310766086,0.13873820306773932,-0.10036831703681068,0.10562753824102143,-0.23093185930437046,0.1994772842419451,-0.13768577936607923,0.16042439899833622,-0.16438829282407452,0.019267915080317527,0.009683427476219789,-0.7261187557086931,0.00910186832972276,0.006590239214207627
8.321106303236224,4611923.358437871,0.10952611757516462,-0.16155379121373686,0.16922830561780325,-0.2331173079166774,0.09550216337843495,-0.21108560925416645,0.23549126433260514,-0.12521899288503058,0.13140479705600272,-0.17581016667659913,0.19600356549663714,-0.17686914923407082,0.13987377217430577,-0.1626541126470185,0.17321088338844975,-0.18059105783852286,0.05588496862400191,0.00782407599090923,0.8912723147458699,0.009872709746561998,-0.00667950477649879
-6.489347086986783,17282660.7537779,0.17747364469492477,-0.12101825103017022,0.11957671288408434,-0.13020716833780605,0.24513354044232938,-0.19927932530221132,0.21402125173777833,-0.12006702190052757,0.24031983065027027,-0.16702297117953308,0.23317237606842384,-0.14956210668213968,0.18566399660977365,-0.1114118668971495,0.2374998776036987,-0.1738410801207351,0.2418442464233786,0.001981493597310954,-0.5603099503103283,0.006639187363175753,-0.021238087037783026
7.965540287685581,16859773.23247366,0.10415880032830713,-0.12899834199154275,0.12135725798706323,-0.14950602254319292,0.0972363662256861,-0.1817208093923921,0.1420528529221223,-0.1237522613795276,0.15218836635031713,-0.2331745411407649,0.13341584508382337,-0.15700476523069634,0.2225980014643087,-0.24257427882040714,0.14708053227097428,-0.22501293955925228,0.13995491991613523,0.006625865941100558,0.7981762226430675,0.007164706534868066,0.016966769634474254
-7.388524080465394,11142433.458818043,0.13494952154998094,-0.1541802180142188,0.17683137330531976,-0.20078292854408802,0.11254787599596203,-0.20800400180058473,0.21835151692064636,-0.09706580926888747,0.10192810298876334,-0.19145510033779634,0.2479019098560828,-0.159641364763871,0.2135591630874652,-0.164520196595541,0.1217945090454676,-0.2400770522979227,0.13378261762475657,0.009934167879346706,-0.8832397423112051,0.008004440363024213,0.018818654607266682
0.997221670539696,16302048.373189418,0.09088353873977639,-0.14211588186231952,0.22047382855277348,-0.16793578885266047,0.20309717501561875,-0.18897326131227818,0.206641146886558,-0.23943730942939834,0.21340325546975134,-0.2031177624021257,0.10184714427745446,-0.10854473987104013,0.14735451656708362,-0.22220618027080496,0.10853904952402077,-0.21490661763974067,0.1264320577419882,0.010328245032024388,0.03431477408850314,0.004556694696376844,0.02895782442585364
-0.5553550642766878,6383146.756199459,0.22809654814009497,-0.21715295502883658,0.1897277002924093,-0.10747122891890665,0.14294368397642387,-0.13800072276506772,0.1001693360457638,-0.10890510991123167,0.13975717147450598,-0.10380056001970672,0.14202933152427955,-0.10152519437441765,0.20673698853409025,-0.17228550194655287,0.19200919541683412,-0.17380418383062995,0.19222252798967293,0.008940966874405598,0.011950403209533556,0.007439283107033228,-0.0012487081390239129
6.085743217680999,1445264.3567719168,0.23195403881221227,-0.11737234555891732,0.1655543880259119,-0.19689173213568323,0.10913507935012828,-0.24644621927681223,0.20411916595567922,-0.19695236527754872,0.2117256077787036,-0.13538394713514496,0.1798043516111194,-0.23022175174206894,0.21335474879272978,-0.12443506273617451,0.16900729541830253,-0.11952410920860018,0.1690009737136075,0.0043833067567428845,0.7265151984188409,0.00976705565501496,-0.0060201178704185395
8.904364664342776,8241042.433628228,0.17363725270111907,-0.23385402143450518,0.15840656293736796,-0.2343457141680909,0.09406706027905525,-0.21819005655472795,0.10726262831892873,-0.19297769707932821,0.09502866970987749,-0.16476262902454053,0.19182566580220486,-0.17231328031134283,0.14029695697221228,-0.11349304204927149,0.17137131058635247,-0.2272428820677168,0.047925929416945595,0.011754224993636802,0.9317868487713796,0.008595137232760949,0.004108038148484883
-5.654567140713997,17180040.726817142,0.2352106358281749,-0.1383883644482289,0.12988675666382,-0.16217814636505654,0.15566126768570077,-0.1321080282940445,0.21088818216688782,-0.1952885717073434,0.1266077064786596,-0.17457925940353955,0.10231678557260689,-0.24542512173022923,0.13636023246620288,-0.23142305454768328,0.11579540596064072,-0.19000070208610692,0.1253169550420523,0.009800924889209769,-0.7564337222471456,0.007444046079097465,0.05543036930479903
-1.0372634635210303,1884687.0762771843,0.2387516243748117,-0.1729992414215806,0.21929926073030673,-0.23628049710970994,0.19134460104166776,-0.11800188013963109,0.22943369443003486,-0.0986316220266269,0.21858753230385833,-0.15457640354454372,0.11985120942176575,-0.24145569260532582,0.23280943975839646,-0.13178780412195024,0.17629475870650413,-0.21525380603429195,0.17723038870605273,0.01009736898708814,-0.0527022078294459,0.007395831270354038,0.006983704940893532
-7.3285123830462116,2971716.122020603,0.21919042482625,-0.13261572926355794,0.23337460798775894,-0.18050463757853924,0.14088055599549823,-0.24145173500083222,0.1076083079244283,-0.20540016973501427,0.1264696260067107,-0.1816752063801158,0.158337246180201,-0.13219994533704763,0.2208823625475989,-0.22870891490719517,0.22771689332101497,-0.20407973162751994,0.11269021261073425,0.010205046154064742,-0.795908685518016,0.010086052958170695,0.01050976284982057
-3.624359994496905,7828641.525606018,0.09111234088499053,-0.23663403505538275,0.17171956841241054,-0.15147088192488406,0.15678576050380466,-0.17411656017155236,0.12553724967531685,-0.10135920874031384,0.10917845877338926,-0.13151151949225348,0.1440184274245805,-0.12553802199024627,0.24086555262600307,-0.22369718794291987,0.14171246912332086,-0.2073403967179696,0.13550689223092885,0.008785295362206279,-0.44814594378856026,0.006786897881685714,0.004721257208028007
-5.798172253834472,7657687.815046022,0.1730064994789386,-0.16789767305824918,0.20248303342322846,-0.2478424798585565,0.14818073638068704,-0.1107794970235943,0.2454851332353537,-0.12556153888098387,0.2439915671907378,-0.24072965036876548,0.13028516733205828,-0.11415457408430218,0.1695597609427817,-0.2492819016290947,0.13814052957068315,-0.23172490903388998,0.02030592324573413,0.006051426940136635,-0.7062231747529242,0.007122363792191319,0.02011029291957751
10.724203377322363,11015643.875115857,0.13557447910039483,-0.24114167152676957,0.09590191157672526,-0.17333441090548682,0.1875302934367835,-0.12455203521297692,0.17042864371661784,-0.2214337341058416,0.0982366001999983,-0.12656216621826788,0.13458343427785785,-0.22041203485430114,0.2353225417546646,-0.09151418567397382,0.1283299025067156,-0.11344407451199015,0.003015619767540889,0.005353078675831143,1.2165379006721082,0.01024442804548651,-0.021174128154833716
