Operator,SSE,Mission,Seg,Flight_segment,Type_segment,FLAP,Altitude,TAS,Time,Distance,Pressure,THRUST,Mass,ZFW,PL,FW,1g,Vertical maneuver,Vertical gust,Turn,Frontal gust,n0,Giro,Xcg(%CMA),Op-Mission,q,gamma,Mission_type
OpI,2110017,ISR2,116,D- 5000,FLT-3,0,5500,217.0,0.38,1.4,2.1,,16637,15707,0,930,56.759,18.893,0.783,5.817,,1.93,1.678,14.6,OpI-ISR2,6478.200648068861,-6.704708200069721,SAR/ISR
OpI,2110017,ISR2,117,D- 4000,FLT-3,0,4500,213.0,0.39,1.3,1.78,,16637,15707,0,930,56.75,18.893,0.783,5.817,,1.93,1.678,14.6,OpI-ISR2,6433.613503116796,-7.215210799943852,SAR/ISR
OpI,2110017,ISR2,118,D- 3000,FLT-3,0,3500,210.0,0.38,1.3,1.43,,16637,15707,0,930,56.74,18.893,0.783,5.817,,1.93,1.678,14.6,OpI-ISR2,6444.69152245498,-7.215210799943844,SAR/ISR
OpI,2110017,ISR2,119,D- 2000,FLT-3,0,2500,207.0,0.38,1.3,1.06,,16637,15707,0,930,56.767,18.835,0.811,5.805,,1.88,1.767,14.6,OpI-ISR2,6451.790829338689,-7.215210799943848,SAR/ISR
OpI,2110017,ISR2,120,D- 1500,FLT-3,0,1750,205.0,0.19,0.7,0.78,,16637,15707,0,930,56.76,18.835,0.811,5.805,,1.88,1.767,14.6,OpI-ISR2,6470.232804476414,-6.704708200069711,SAR/ISR
OpI,2110017,ISR2,121,APPROACH,FLT-3,15,750,113.0,1.0,5.0,0.41,,16637,15707,0,930,37.806,14.55,0.403,4.811,2.987,1.98,1.094,14.6,OpI-ISR2,2024.82562757867,0.0,SAR/ISR
OpI,2110017,ISR2,122,F/APPRO.,FLT-3,23,25,102.0,1.0,0.2,0.14,,16637,15707,0,930,37.719,12.298,0.356,4.22,3.198,2.0,0.958,14.6,OpI-ISR2,1685.269116524875,0.0,SAR/ISR
OpT,2110017,F,9,C-1500,FLT-1,10,750,142.5597971973041,1.5,2.9,,,18383,11868,500,6515,36.753,13.484,0.512,5.101,,2.0,5.206,20.2,OpT-F,3222.737107526221,4.865686239349106,Ferry
OpT,2110017,F,10,C-7500,FLT-1,0,4500,148.614179213972,3.7,9.2,,,18383,11868,500,6515,36.794,13.484,0.512,5.101,,2.0,5.206,20.2,OpT-F,3131.960346789104,6.126331976646654,Ferry
OpT,2110017,F,11,C-15000,FLT-1,0,10500,164.2017243762202,6.1,16.9,,,18383,11868,500,6515,37.873,12.871,0.4859,4.543,,2.03,4.614,20.2,OpT-F,3177.186625799207,5.00891954859078,Ferry
OpT,2110017,F,12,C-25000,FLT-1,0,20500,192.0528657198811,17.8,57.5,,,18383,11868,500,6515,37.933,12.871,0.4859,4.543,,2.03,4.614,20.2,OpT-F,3131.960346789107,1.475622406636435,Ferry
OpT,2110017,F,13,CRUISE,FLT-2,0,25000,222.5828872083308,623.0,2325.0,,,18383,11868,500,6515,40.956,13.328,0.5006,4.357,,2.06,4.391,20.2,OpT-F,3598.812259151437,0.0,Ferry
OpT,2110017,F,14,D-17000,FLT-3,0,21000,260.5873836058158,3.3,14.0,,,14125,11868,500,2257,46.872,15.567,0.7042,4.794,,1.99,4.805,15.5,OpT-F,5668.522403957774,-5.372582293445005,Ferry
OpT,2110017,F,15,D-13000,FLT-3,0,15000,238.2625223232305,1.6,6.6,,,14125,11868,500,2257,46.844,15.567,0.7042,4.794,,1.99,4.805,15.5,OpT-F,5790.422625519047,-5.696112692734848,Ferry
OpT,2110017,F,16,D-5000,FLT-3,0,9000,216.5186289320216,3.5,12.6,,,14125,11868,500,2257,46.748,15.495,0.7313,4.773,,1.93,4.788,15.5,OpT-F,5790.422625519047,-5.965444129122686,Ferry
OpT,2110017,F,17,D-1500,FLT-3,0,3000,197.5712076814429,1.6,5.3,,,14125,11868,500,2257,46.691,15.495,0.7313,4.773,,1.93,4.788,15.5,OpT-F,5790.42262551905,-5.322189980864655,Ferry
OpT,2110017,F,18,APPROACH,FLT-3,15,750,131.4381108911315,3.0,6.6,,,14125,11868,500,2257,31.569,12.609,0.3877,4.122,2.542,1.99,4.128,15.5,OpT-F,2739.512957959518,0.0,Ferry
OpT,2110017,F,19,F/APPRO.,FLT-3,23,18,110.0289750153854,0.1,0.2,,,14125,11868,500,2257,31.561,12.609,0.3877,4.122,2.542,1.99,4.128,15.5,OpT-F,1961.426437355633,0.0,Ferry
OpT,2110017,L-TL12,7,C-1500,FLT-1,10,750,142.5597971973041,1.5,2.9,,,18799,16368,5000,2431,45.785,19.115,0.5933,7.216,,1.82,7.311,16.9,OpT-L-TL12,3222.737107526221,4.865686239349106,Ferry
OpT,2110017,L-TL12,8,C-7500,FLT-1,0,4500,148.614179213972,3.5,8.7,,,18799,16368,5000,2431,45.826,19.115,0.5933,7.216,,1.82,7.311,16.9,OpT-L-TL12,3131.960346789104,6.475509678787737,Ferry
OpT,2110017,L-TL12,9,C-15000,FLT-1,0,10500,164.2017243762202,5.7,15.7,,,18799,16368,5000,2431,47.77,18.22,0.5663,6.383,,1.88,6.45,16.9,OpT-L-TL12,3177.186625799207,5.389591833083031,Ferry
OpT,2110017,L-TL12,10,C-25000,FLT-1,0,20500,192.0528657198811,15.5,50.2,,,18799,16368,5000,2431,47.831,18.22,0.5663,6.383,,1.88,6.45,16.9,OpT-L-TL12,3131.960346789107,1.690088389611739,Ferry
OpT,2110017,L-TL12,11,CRUISE,FLT-2,0,25000,231.5459564918878,20.2,78.3,,,18799,16368,5000,2431,51.797,18.602,0.5885,6.02,,1.95,6.052,16.9,OpT-L-TL12,3894.485136980917,0.0,Ferry
OpT,2110017,L-TL12,12,D-17000,FLT-3,0,21000,260.5873836058158,4.0,17.4,,,18799,16368,5000,2431,59.422,20.754,0.8013,6.397,,1.85,6.417,16.9,OpT-L-TL12,5668.522403957774,-4.32723537940009,Ferry
OpT,2110017,L-TL12,13,D-13000,FLT-3,0,15000,238.2625223232305,2.0,8.0,,,18799,16368,5000,2431,59.394,20.754,0.8013,6.397,,1.85,6.417,16.9,OpT-L-TL12,5790.422625519047,-4.704237067623306,Ferry
OpT,2110017,L-TL12,14,D-5000,FLT-3,0,9000,216.5186289320216,4.3,15.3,,,18799,16368,5000,2431,59.275,20.693,0.8334,6.375,,1.79,6.399,16.9,OpT-L-TL12,5790.422625519047,-4.918430744693445,Ferry
OpT,2110017,L-TL12,15,D-1500,FLT-3,0,3000,197.5712076814429,2.0,6.5,,,18799,16368,5000,2431,59.217,20.693,0.8334,6.375,,1.79,6.399,16.9,OpT-L-TL12,5790.42262551905,-4.343815013010892,Ferry
OpT,2110017,L-TL12,16,APPROACH,FLT-3,15,750,131.4381108911315,3.0,6.6,,,18799,16368,5000,2431,42.718,14.966,0.4317,5.008,3.422,1.87,5.038,16.9,OpT-L-TL12,2739.512957959518,0.0,Ferry
OpT,2110017,L-TL12,17,F/APPRO.,FLT-3,23,18,110.0289750153854,0.1,0.2,,,18799,16368,5000,2431,42.71,14.966,0.4317,5.008,3.422,1.87,5.038,16.9,OpT-L-TL12,1961.426437355633,0.0,Ferry
OpT,2110017,L-TL22,7,C-1500,FLT-1,10,750,142.5597971973041,1.5,2.9,,,18799,16368,5000,2431,47.526,19.648,0.5963,7.395,,1.81,7.498,16.9,OpT-L-TL22,3222.737107526221,4.865686239349106,Ferry
OpT,2110017,L-TL22,8,C-7500,FLT-1,0,4500,148.614179213972,3.8,9.6,,,18799,16368,5000,2431,47.567,19.648,0.5963,7.395,,1.81,7.498,16.9,OpT-L-TL22,3131.960346789104,5.872890681248978,Ferry
OpT,2110017,L-TL22,9,C-15000,FLT-1,0,10500,164.2017243762202,6.4,17.6,,,18799,16368,5000,2431,49.513,18.749,0.5733,6.581,,1.87,6.651,16.9,OpT-L-TL22,3177.186625799207,4.810655320527908,Ferry
OpT,2110017,L-TL22,10,C-23500,FLT-1,0,20500,192.0528657198811,14.1,44.8,,,18799,16368,5000,2431,49.574,18.749,0.5733,6.581,,1.87,6.651,16.9,OpT-L-TL22,3131.960346789107,1.262698112233804,Ferry
OpT,2110017,L-TL22,11,CRUISE,FLT-2,0,23500,231.3471044575244,99.0,383.7,,,18799,16368,5000,2431,54.058,19.441,0.6234,6.301,,1.92,6.334,16.9,OpT-L-TL22,4098.084443205597,0.0,Ferry
OpT,2110017,L-TL22,12,D-17000,FLT-3,0,21000,260.5873836058158,3.3,14.1,,,18799,16368,5000,2431,59.422,20.754,0.8013,6.397,,1.85,6.417,16.9,OpT-L-TL22,5668.522403957774,-5.334699484491553,Ferry
OpT,2110017,L-TL22,13,D-13000,FLT-3,0,15000,238.2625223232305,2.0,8.1,,,18799,16368,5000,2431,59.394,20.754,0.8013,6.397,,1.85,6.417,16.9,OpT-L-TL22,5790.422625519047,-4.646415936787093,Ferry
OpT,2110017,L-TL22,14,D-5000,FLT-3,0,9000,216.5186289320216,4.3,15.5,,,18799,16368,5000,2431,59.275,20.693,0.8334,6.375,,1.79,6.399,16.9,OpT-L-TL22,5790.422625519047,-4.855272473122657,Ferry
OpT,2110017,L-TL22,15,D-1500,FLT-3,0,3000,197.5712076814429,2.0,6.6,,,18799,16368,5000,2431,59.217,20.693,0.8334,6.375,,1.79,6.399,16.9,OpT-L-TL22,5790.42262551905,-4.278245866885844,Ferry
OpT,2110017,L-TL22,16,APPROACH,FLT-3,15,750,131.4381108911315,3.0,6.5,,,18799,16368,5000,2431,42.718,14.966,0.4317,5.008,3.422,1.87,5.038,16.9,OpT-L-TL22,2739.512957959518,0.0,Ferry
OpT,2110017,L-TL22,17,F/APPRO.,FLT-3,23,18,110.0289750153854,0.1,0.2,,,18799,16368,5000,2431,42.71,14.966,0.4317,5.008,3.422,1.87,5.038,16.9,OpT-L-TL22,1961.426437355633,0.0,Ferry
OpT,2110017,T-TT11,9,C-1500,FLT-1,10,750,142.5597971973041,1.5,2.9,,,20675,16368,5000,4307,50.025,19.915,0.5943,7.477,,1.84,7.599,18.5,OpT-T-TT11,3222.737107526221,4.865686239349106,Ferry
OpT,2110017,T-TT11,10,C-7500,FLT-1,0,4500,148.614179213972,4.6,11.2,,,20675,16368,5000,4307,50.066,19.915,0.5943,7.477,,1.84,7.599,18.5,OpT-T-TT11,3131.960346789104,5.038581519339688,Ferry
OpT,2110017,T-TT11,11,C-15000,FLT-1,0,10500,164.2017243762202,7.9,21.5,,,20675,16368,5000,4307,51.879,19.031,0.5704,6.734,,1.91,6.814,18.5,OpT-T-TT11,3177.186625799207,3.941077476810535,Ferry
OpT,2110017,T-TT11,12,C-21500,FLT-1,0,18500,185.6711710896018,12.7,39.1,,,20675,16368,5000,4307,51.936,19.031,0.5704,6.734,,1.91,6.814,18.5,OpT-T-TT11,3131.960346789105,1.446701053029467,Ferry
OpT,2110017,T-TT11,13,CRUISE,FLT-2,0,21500,233.3138787999885,72.6,283.8,,,20675,16368,5000,4307,58.239,20.78,0.6604,6.719,,1.93,6.755,18.5,OpT-T-TT11,4466.865033700149,0.0,Ferry
OpT,2110017,T-TT11,14,D-17000,FLT-3,0,19500,255.3856847638692,2.3,10.2,,,19101,16368,5000,2733,64.067,22.517,0.8262,6.959,,1.82,6.982,17.1,OpT-T-TT11,5729.310413379957,-4.612399068124508,Ferry
OpT,2110017,T-TT11,15,D-13000,FLT-3,0,15000,238.2625223232305,2.3,8.6,,,19101,16368,5000,2733,64.039,22.517,0.8262,6.959,,1.82,6.982,17.1,OpT-T-TT11,5790.422625519047,-4.377357621232535,Ferry
OpT,2110017,T-TT11,16,D-5000,FLT-3,0,9000,216.5186289320216,4.7,16.6,,,19101,16368,5000,2733,63.911,22.465,0.8603,6.938,,1.75,6.965,17.1,OpT-T-TT11,5790.422625519047,-4.534926847182527,Ferry
OpT,2110017,T-TT11,17,D-500,FLT-3,0,3000,197.5712076814429,2.7,9.0,,,19101,16368,5000,2733,63.854,22.465,0.8603,6.938,,1.75,6.965,17.1,OpT-T-TT11,5790.42262551905,-5.224181354502638,Ferry
OpT,2110017,T-TT11,18,CRUISE,FLT-4,0,500,210.5372005702803,42.6,150.0,,,19101,16368,5000,2733,66.195,23.361,0.9818,7.264,,1.73,7.289,17.1,OpT-T-TT11,7080.749438853836,0.0,Ferry
OpT,2110017,T-TT11,19,APPROACH,FLT-3,15,250,131.4804569052634,3.0,6.5,,,19101,16368,5000,2733,45.043,15.143,0.4377,5.129,3.606,1.85,5.168,17.1,OpT-T-TT11,2781.821412517356,0.0,Ferry
OpT,2110017,T-TT11,20,F/APPRO.,FLT-3,23,18,110.0289750153854,0.1,0.2,,,19101,16368,5000,2733,45.041,15.143,0.4377,5.129,3.606,1.85,5.168,17.1,OpT-T-TT11,1961.426437355633,0.0,Ferry
OpT,2110017,T-TT12,7,C-500,FLT-1,10,250,142.5208006148656,1.5,2.9,,,19101,16368,5000,2733,48.118,19.862,0.5983,7.479,,1.8,7.586,17.1,OpT-T-TT12,3268.611791970161,1.625369471446298,Ferry
OpT,2110017,T-TT12,8,CRUISE,FLT-4,0,500,210.5372005702803,42.5,150.0,,,19101,16368,5000,2733,64.398,22.607,0.9719,7.024,,1.74,7.046,17.1,OpT-T-TT12,7080.749438853836,0.0,Ferry
OpT,2110017,T-TT12,9,C-7500,FLT-1,0,4500,148.614179213972,4.6,10.5,,,19101,16368,5000,2733,48.402,18.932,0.5873,6.792,,1.82,6.877,17.1,OpT-T-TT12,3131.960346789104,5.372582293445005,Ferry
OpT,2110017,T-TT12,10,C-15000,FLT-1,0,10500,164.2017243762202,5.6,16.6,,,19101,16368,5000,2733,48.998,18.554,0.5654,6.513,,1.88,6.581,17.1,OpT-T-TT12,3177.186625799207,5.098969194644893,Ferry
OpT,2110017,T-TT12,11,C-24500,FLT-1,0,20500,190.6711904269323,15.7,50.2,,,19101,16368,5000,2733,49.05,18.554,0.5654,6.513,,1.88,6.581,17.1,OpT-T-TT12,3087.058270495923,1.502392232639572,Ferry
OpT,2110017,T-TT12,12,CRUISE,FLT-2,0,24500,232.4751572093629,71.4,276.5,,,19101,16368,5000,2733,53.385,19.169,0.6036,6.214,,1.93,6.247,17.1,OpT-T-TT12,3995.636384659415,0.0,Ferry
OpT,2110017,T-TT12,13,D-17000,FLT-3,0,21000,260.5873836058158,3.7,16.3,,,17605,16368,5000,1237,58.473,20.387,0.7963,6.282,,1.87,6.3,15.9,OpT-T-TT12,5668.522403957774,-4.618033989997465,Ferry
OpT,2110017,T-TT12,14,D-13000,FLT-3,0,15000,238.2625223232305,2.0,8.0,,,17605,16368,5000,1237,58.445,20.387,0.7963,6.282,,1.87,6.3,15.9,OpT-T-TT12,5790.422625519047,-4.704237067623306,Ferry
OpT,2110017,T-TT12,15,D-5000,FLT-3,0,9000,216.5186289320216,4.3,15.4,,,17605,16368,5000,1237,58.327,20.324,0.8284,6.26,,1.8,6.282,15.9,OpT-T-TT12,5790.422625519047,-4.886648037626543,Ferry
OpT,2110017,T-TT12,16,D-1500,FLT-3,0,3000,197.5712076814429,2.0,6.5,,,17605,16368,5000,1237,58.27,20.324,0.8284,6.26,,1.8,6.282,15.9,OpT-T-TT12,5790.42262551905,-4.343815013010892,Ferry
OpT,2110017,T-TT12,17,APPROACH,FLT-3,15,750,131.4381108911315,3.0,6.5,,,17605,16368,5000,1237,41.928,14.886,0.4298,4.963,3.36,1.87,4.991,15.9,OpT-T-TT12,2739.512957959518,0.0,Ferry
OpT,2110017,T-TT12,18,F/APPRO.,FLT-3,23,18,110.0289750153854,0.1,0.2,,,17605,16368,5000,1237,41.919,14.886,0.4298,4.963,3.36,1.87,4.991,15.9,OpT-T-TT12,1961.426437355633,0.0,Ferry
OpT,2110017,T-TT13,9,C-1500,FLT-1,10,750,142.5597971973041,1.5,2.9,,,20675,16368,5000,4307,50.025,19.915,0.5943,7.477,,1.84,7.599,18.5,OpT-T-TT13,3222.737107526221,4.865686239349106,SAR/ISR
OpT,2110017,T-TT13,10,C-7500,FLT-1,0,4500,148.614179213972,4.6,11.2,,,20675,16368,5000,4307,50.066,19.915,0.5943,7.477,,1.84,7.599,18.5,OpT-T-TT13,3131.960346789104,5.038581519339688,SAR/ISR
OpT,2110017,T-TT13,11,C-15000,FLT-1,0,10500,164.2017243762202,7.9,21.5,,,20675,16368,5000,4307,51.879,19.031,0.5704,6.734,,1.91,6.814,18.5,OpT-T-TT13,3177.186625799207,3.941077476810535,SAR/ISR
OpT,2110017,T-TT13,12,C-21500,FLT-1,0,18500,185.6711710896018,12.7,39.1,,,20675,16368,5000,4307,51.936,19.031,0.5704,6.734,,1.91,6.814,18.5,OpT-T-TT13,3131.960346789105,1.446701053029467,SAR/ISR
OpT,2110017,T-TT13,13,CRUISE,FLT-2,0,21500,233.3138787999885,72.6,283.8,,,20675,16368,5000,4307,58.239,20.78,0.6604,6.719,,1.93,6.755,18.5,OpT-T-TT13,4466.865033700149,0.0,SAR/ISR
OpT,2110017,T-TT13,14,D-17000,FLT-3,0,19500,255.3856847638692,2.3,10.2,,,19101,16368,5000,2733,64.067,22.517,0.8262,6.959,,1.82,6.982,17.1,OpT-T-TT13,5729.310413379957,-4.612399068124508,SAR/ISR
OpT,2110017,T-TT13,15,D-13000,FLT-3,0,15000,238.2625223232305,2.3,8.6,,,19101,16368,5000,2733,64.039,22.517,0.8262,6.959,,1.82,6.982,17.1,OpT-T-TT13,5790.422625519047,-4.377357621232535,SAR/ISR
OpT,2110017,T-TT13,16,D-5000,FLT-3,0,9000,216.5186289320216,4.7,16.6,,,19101,16368,5000,2733,63.911,22.465,0.8603,6.938,,1.75,6.965,17.1,OpT-T-TT13,5790.422625519047,-4.534926847182527,SAR/ISR
OpT,2110017,T-TT13,17,D-500,FLT-3,0,3000,197.5712076814429,2.7,9.0,,,19101,16368,5000,2733,63.854,22.465,0.8603,6.938,,1.75,6.965,17.1,OpT-T-TT13,5790.42262551905,-5.224181354502638,SAR/ISR
OpT,2110017,T-TT13,18,CRUISE,FLT-4,0,500,210.5372005702803,85.1,300.0,,,19101,16368,5000,2733,66.195,23.361,0.9818,7.264,,1.73,7.289,17.1,OpT-T-TT13,7080.749438853836,0.0,SAR/ISR
OpT,2110017,T-TT13,19,C-7500,FLT-1,0,4500,148.614179213972,4.6,10.5,,,19101,16368,5000,2733,64.398,22.607,0.9719,7.024,,1.74,7.046,17.1,OpT-T-TT13,3131.960346789104,5.372582293445005,SAR/ISR
OpT,2110017,T-TT13,20,C-15000,FLT-1,0,10500,164.2017243762202,5.6,16.6,,,19101,16368,5000,2733,48.402,18.932,0.5873,6.792,,1.82,6.877,17.1,OpT-T-TT13,3177.186625799207,5.098969194644893,SAR/ISR
OpT,2110017,T-TT13,21,C-24500,FLT-1,0,20500,190.6711904269323,15.7,50.2,,,19101,16368,5000,2733,48.998,18.554,0.5654,6.513,,1.88,6.581,17.1,OpT-T-TT13,3087.058270495923,1.502392232639572,SAR/ISR
OpT,2110017,T-TT13,22,CRUISE,FLT-2,0,24500,232.4751572093629,71.4,276.5,,,19101,16368,5000,2733,49.05,18.554,0.5654,6.513,,1.88,6.581,17.1,OpT-T-TT13,3995.636384659415,0.0,SAR/ISR
OpT,2110017,T-TT13,23,D-17000,FLT-3,0,21000,260.5873836058158,3.7,16.3,,,17605,16368,5000,1237,53.385,19.169,0.6036,6.214,,1.93,6.247,15.9,OpT-T-TT13,5668.522403957774,-4.618033989997465,SAR/ISR
OpT,2110017,T-TT13,24,D-13000,FLT-3,0,15000,238.2625223232305,2.0,8.0,,,17605,16368,5000,1237,58.473,20.387,0.7963,6.282,,1.87,6.3,15.9,OpT-T-TT13,5790.422625519047,-4.704237067623306,SAR/ISR
OpT,2110017,T-TT13,25,D-5000,FLT-3,0,9000,216.5186289320216,4.3,15.4,,,17605,16368,5000,1237,58.445,20.387,0.7963,6.282,,1.87,6.3,15.9,OpT-T-TT13,5790.422625519047,-4.886648037626543,SAR/ISR
OpT,2110017,T-TT13,26,D-1500,FLT-3,0,3000,197.5712076814429,2.0,6.5,,,17605,16368,5000,1237,58.327,20.324,0.8284,6.26,,1.8,6.282,15.9,OpT-T-TT13,5790.42262551905,-4.343815013010892,SAR/ISR
OpT,2110017,T-TT13,27,APPROACH,FLT-3,15,750,131.4381108911315,3.0,6.5,,,17605,16368,5000,1237,58.27,20.324,0.8284,6.26,,1.8,6.282,15.9,OpT-T-TT13,2739.512957959518,0.0,SAR/ISR
OpT,2110017,T-TT13,28,F/APPRO.,FLT-3,23,18,110.0289750153854,0.1,0.2,,,17605,16368,5000,1237,41.928,14.886,0.4298,4.963,3.36,1.87,4.991,15.9,OpT-T-TT13,1961.426437355633,0.0,SAR/ISR
OpT,2110017,T-TT22,7,C-500,FLT-1,10,250,142.5208006148656,1.5,2.9,,,19101,16368,5000,2733,48.118,19.862,0.5983,7.479,,1.8,7.586,17.1,OpT-T-TT22,3268.611791970161,1.625369471446298,Training
OpT,2110017,T-TT22,8,CRUISE,FLT-4,0,500,210.5372005702803,113.0,400.0,,,19101,16368,5000,2733,64.398,22.607,0.9719,7.024,,1.74,7.046,17.1,OpT-T-TT22,7080.749438853836,0.0,Training
OpT,2110017,T-TT22,9,APPROACH,FLT-3,15,250,131.4804569052634,3.0,6.5,,,17605,16368,5000,1237,41.928,14.886,0.4298,4.963,3.36,1.87,4.991,15.9,OpT-T-TT22,2781.821412517356,0.0,Training
OpT,2110017,T-TT22,10,F/APPRO.,FLT-3,23,18,110.0289750153854,0.1,0.2,,,17605,16368,5000,1237,41.919,14.886,0.4298,4.963,3.36,1.87,4.991,15.9,OpT-T-TT22,1961.426437355633,0.0,Training
OpT,2110017,T-TT231,9,C-500,FLT-1,10,250,142.5208006148656,1.5,2.9,,,20675,16368,5000,4307,50.025,19.915,0.5943,7.477,,1.84,7.599,18.5,OpT-T-TT231,3268.611791970161,1.625369471446298,Training
OpT,2110017,T-TT231,10,CRUISE,FLT-4,0,500,210.5372005702803,113.7,400.0,,,20675,16368,5000,4307,66.623,23.394,0.9689,7.287,,1.77,7.315,18.5,OpT-T-TT231,7080.749438853836,0.0,Training
OpT,2110017,T-TT231,11,CRUISE,FLT-4,0,500,210.5372005702803,113.0,400.0,,,19101,16368,5000,2733,64.398,22.607,0.9719,7.024,,1.74,7.046,17.1,OpT-T-TT231,7080.749438853836,0.0,Training
OpT,2110017,T-TT231,12,APPROACH,FLT-3,15,250,131.4804569052634,3.0,6.5,,,17605,16368,5000,1237,41.928,14.886,0.4298,4.963,3.36,1.87,4.991,15.9,OpT-T-TT231,2781.821412517356,0.0,Training
OpT,2110017,T-TT231,13,F/APPRO.,FLT-3,23,18,110.0289750153854,0.1,0.2,,,17605,16368,5000,1237,41.919,14.886,0.4298,4.963,3.36,1.87,4.991,15.9,OpT-T-TT231,1961.426437355633,0.0,Training
OpT,2110017,T-TT232,9,C-500,FLT-1,10,250,142.5208006148656,1.5,2.9,,,20675,16368,5000,4307,50.025,19.915,0.5943,7.477,,1.84,7.599,18.5,OpT-T-TT232,3268.611791970161,1.625369471446298,Training
OpT,2110017,T-TT232,10,CRUISE,FLT-4,0,500,210.5372005702803,113.7,400.0,,,20675,16368,5000,4307,66.623,23.394,0.9689,7.287,,1.77,7.315,18.5,OpT-T-TT232,7080.749438853836,0.0,Training
OpT,2110017,T-TT232,11,CRUISE,FLT-4,0,500,210.5372005702803,113.0,400.0,,,19101,16368,5000,2733,64.398,22.607,0.9719,7.024,,1.74,7.046,17.1,OpT-T-TT232,7080.749438853836,0.0,Training
OpT,2110017,T-TT232,12,APPROACH,FLT-3,15,250,131.4804569052634,3.0,6.5,,,17605,16368,5000,1237,41.928,14.886,0.4298,4.963,3.36,1.87,4.991,15.9,OpT-T-TT232,2781.821412517356,0.0,Training
OpT,2110017,T-TT232,13,F/APPRO.,FLT-3,23,18,110.0289750153854,0.1,0.2,,,17605,16368,5000,1237,41.919,14.886,0.4298,4.963,3.36,1.87,4.991,15.9,OpT-T-TT232,1961.426437355633,0.0,Training
