I1,I2,I3,I4,I5,I6,I7,O1,O2
0.4938271604938271,0.5454545454545454,0.3846153846153846,0.1333333333333333,0.6666666666666667,1.0,0.2552,0.478126960317348,0.2654456272176998
0.411522633744856,0.3636363636363636,0.923076923076923,0.1333333333333333,-0.6666666666666667,0.0,0.248,0.3161044892568216,0.3494573158004592
0.4938271604938271,0.3636363636363636,0.3076923076923076,0.3333333333333333,0.6666666666666667,0.0,0.4906,0.6541987906249236,0.4418179920684617
0.5761316872427984,0.6363636363636364,0.7692307692307692,0.93,-0.6666666666666667,0.0,0.1928,0.2954573097279912,0.2315278647463995
0.3292181069958848,0.0,0.5384615384615384,0.3333333333333333,0.6666666666666667,0.0,0.2858,0.3253816054243764,0.308234189104571
0.6790123456790124,0.2727272727272727,0.2307692307692307,0.5333333333333333,0.0,1.0,0.399,0.5514472673987681,0.3426737633061991
0.3292181069958848,0.3636363636363636,0.923076923076923,0.5333333333333333,0.0,0.0,0.3298,0.3781915270047644,0.3750260905865164
0.3292181069958848,0.2727272727272727,0.6153846153846154,0.1333333333333333,0.6666666666666667,0.0,0.2658,0.3597262107226516,0.2466604049259027
1.0,0.7272727272727273,0.3076923076923076,0.3333333333333333,0.6666666666666667,0.0,0.5776,0.7689943980322237,0.6500208724692131
0.4938271604938271,0.1818181818181818,0.7692307692307692,0.5333333333333333,0.6666666666666667,0.0,0.323,0.4046580451725403,0.379200584429138
0.411522633744856,0.0909090909090909,0.2307692307692307,0.1333333333333333,0.6666666666666667,1.0,0.751,0.7006198133091748,0.6145376748069297
0.411522633744856,0.3636363636363636,0.8461538461538461,0.93,-0.6666666666666667,0.0,0.0713999999999999,0.18810018332519,0.1334272594447923
0.6790123456790124,0.4545454545454545,0.1538461538461538,0.93,0.6666666666666667,1.0,0.397,0.6337126547672252,0.3625026090586516
0.5761316872427984,0.0,0.7692307692307692,0.93,0.6666666666666667,0.0,0.3566,0.3143734240789588,0.4527760384053434
1.0,0.5454545454545454,0.1538461538461538,0.3333333333333333,-0.6666666666666667,1.0,0.4105999999999999,0.5561094536838688,0.2743164266332707
0.4938271604938271,0.0,0.8461538461538461,0.1333333333333333,-0.6666666666666667,0.0,0.0768,0.0886180356715318,0.1292527656021707
0.5761316872427984,0.6363636363636364,0.8461538461538461,0.1333333333333333,-0.6666666666666667,0.0,0.1724,0.2415412224102066,0.2383114172406595
0.1646090534979424,0.1818181818181818,0.3076923076923076,0.5333333333333333,0.6666666666666667,1.0,0.2986,0.4800010373268815,0.2482258401168858
0.6790123456790124,0.4545454545454545,0.2307692307692307,0.3333333333333333,-0.6666666666666667,1.0,0.3536,0.5014615190331598,0.2628365685660614
0.411522633744856,0.4545454545454545,0.1538461538461538,0.5333333333333333,0.6666666666666667,1.0,0.423,0.6929972821345208,0.4016384888332289
0.3292181069958848,0.1818181818181818,0.1538461538461538,0.3333333333333333,0.0,0.0,0.3758,0.4873947495188044,0.2706637445209768
1.0,0.6363636363636364,0.1538461538461538,0.5333333333333333,-0.6666666666666667,0.0,0.3648,0.4829763054142499,0.2852744729701523
0.411522633744856,0.2727272727272727,0.7692307692307692,0.1333333333333333,0.0,0.0,0.4564,0.4229013821082396,0.4152055938217491
0.411522633744856,0.2727272727272727,0.3846153846153846,0.5333333333333333,0.0,0.0,0.355,0.4689238372652645,0.3671989146316009
1.0,0.5454545454545454,0.3076923076923076,0.3333333333333333,-0.6666666666666667,1.0,0.4062,0.5378885011544573,0.3051033187226049
0.2469135802469135,0.1818181818181818,0.3846153846153846,0.3333333333333333,0.0,0.0,0.3026,0.4243818654692389,0.2654456272176998
0.4938271604938271,0.2727272727272727,0.2307692307692307,0.1333333333333333,-0.6666666666666667,1.0,0.4392,0.5074897790577494,0.3520663744520977
0.6790123456790124,0.0772727272727272,0.1538461538461538,0.3333333333333333,0.6666666666666667,1.0,0.3858,0.4779845703181225,0.3285848465873513
0.5761316872427984,0.3636363636363636,0.3846153846153846,0.3333333333333333,-0.6666666666666667,0.0,0.4998,0.5210099945536463,0.4079002295971613
1.0,0.7272727272727273,0.8461538461538461,0.93,0.6666666666666667,0.0,0.1016,0.1977118229633331,0.2174389480275516
0.2469135802469135,0.1818181818181818,0.4615384615384615,0.5333333333333333,0.6666666666666667,0.0,0.227,0.3717199301197931,0.2252661239824671
0.4938271604938271,0.2727272727272727,0.8461538461538461,0.5333333333333333,0.0,0.0,0.1272,0.2164675154756138,0.1803903151742851
0.6790123456790124,0.0772727272727272,0.2307692307692307,0.93,0.0,1.0,0.4438,0.4466307778771863,0.3369338342725944
0.5761316872427984,0.1818181818181818,0.2307692307692307,0.5333333333333333,0.0,0.0,0.5035999999999999,0.5472383667725929,0.3953767480692966
0.411522633744856,0.0,0.3846153846153846,0.1333333333333333,0.6666666666666667,1.0,0.6656,0.5779753428139808,0.7569922771863912
0.2469135802469135,0.0,0.923076923076923,0.3333333333333333,-0.6666666666666667,0.0,0.1534,0.1497817141873428,0.1829993738259236
0.1646090534979424,0.0,0.1538461538461538,0.5333333333333333,0.6666666666666667,1.0,0.346,0.4278676238961429,0.2638801920267168
0.411522633744856,0.0,0.3846153846153846,0.3333333333333333,-0.6666666666666667,0.0,0.4258,0.3303963467592369,0.3499791275307869
0.3292181069958848,0.3636363636363636,0.2307692307692307,0.1333333333333333,-0.6666666666666667,0.0,0.3946,0.4721478216721609,0.3473700688791484
0.4938271604938271,0.0,0.6153846153846154,0.5333333333333333,0.6666666666666667,0.0,0.1504,0.2140356922444778,0.2137862659152578
0.2469135802469135,0.0,0.2307692307692307,0.5333333333333333,0.6666666666666667,1.0,0.5469999999999999,0.5703453501705642,0.6129722396159466
0.3292181069958848,0.0909090909090909,0.6153846153846154,0.5333333333333333,0.6666666666666667,0.0,0.3738,0.4379692344442896,0.4230327697766646
0.4938271604938271,0.3636363636363636,0.4615384615384615,0.3333333333333333,0.0,0.0,0.3263999999999999,0.4579057073815933,0.2925798371947401
0.1646090534979424,0.1818181818181818,0.2307692307692307,0.3333333333333333,-0.6666666666666667,1.0,0.3446,0.4541563096976359,0.2899707785431016
0.6790123456790124,0.5454545454545454,0.1538461538461538,0.93,0.6666666666666667,0.0,0.4264,0.6314356574033492,0.3812878313504488
0.411522633744856,0.0909090909090909,0.3846153846153846,0.1333333333333333,0.6666666666666667,0.0,0.2774,0.3424168031294929,0.2550093926111459
0.4938271604938271,0.1818181818181818,0.3846153846153846,0.3333333333333333,-0.6666666666666667,1.0,0.572,0.5279211973043284,0.451732414944688
0.6790123456790124,0.1818181818181818,0.3846153846153846,0.5333333333333333,0.0,0.0,0.2448,0.3359365013711584,0.2127426424546024
0.3292181069958848,0.3636363636363636,0.8461538461538461,0.1333333333333333,0.0,0.0,0.5262,0.4584155756283938,0.4898246712586099
0.6790123456790124,0.6363636363636364,0.4615384615384615,0.93,0.6666666666666667,0.0,0.221,0.3927451585271873,0.2299624295554164
0.4938271604938271,0.0,0.7692307692307692,0.1333333333333333,-0.6666666666666667,0.0,0.4596,0.261070422686631,0.4266854518889584
0.1646090534979424,0.1818181818181818,0.923076923076923,0.93,0.0,0.0,0.4988,0.3888508837745135,0.4679085785848466
0.4938271604938271,0.2727272727272727,0.6153846153846154,0.3333333333333333,0.6666666666666667,0.0,0.1176,0.2737325669322143,0.1678668336464203
0.6790123456790124,0.4545454545454545,0.2307692307692307,0.3333333333333333,0.0,1.0,0.3283999999999999,0.5367145603657518,0.2696201210603214
0.411522633744856,0.2727272727272727,0.3076923076923076,0.5333333333333333,0.0,1.0,0.3106,0.4806333982361104,0.3024942600709664
0.5761316872427984,0.3636363636363636,0.2307692307692307,0.1333333333333333,0.0,1.0,0.4833999999999999,0.6058956073696413,0.4152055938217491
